Date,Time,Battery,Turbidity,ADC,Pressure,ADC,Sound Velocity,NSV,Depth
2023-10-10,05:10:00.49,7.830000000,0.000000000,8216.000000000,18.922260000,1091960.000000000,1467.742000000,3496.410156000,18.762680000
2023-10-10,05:10:00.74,7.830000000,0.000000000,7831.000000000,19.054100000,1093736.000000000,1467.755000000,3496.392578000,18.893400000
2023-10-10,05:10:01.09,7.830000000,0.000000000,7923.000000000,19.163670000,1095212.000000000,1467.753000000,3496.406738000,19.002050000
2023-10-10,05:10:01.39,7.830000000,0.000000000,7647.000000000,19.285120000,1096848.000000000,1467.755000000,3496.403320000,19.122470000
2023-10-10,05:10:01.59,7.830000000,0.000000000,7957.000000000,19.425500000,1098739.000000000,1467.751000000,3496.418457000,19.261660000
2023-10-10,05:10:01.74,7.830000000,0.000000000,7963.000000000,19.532780000,1100184.000000000,1467.742000000,3496.441650000,19.368020000
2023-10-10,05:10:01.94,7.830000000,0.000000000,7999.000000000,19.684970000,1102234.000000000,1467.745000000,3496.409912000,19.518920000
2023-10-10,05:10:02.19,7.840000000,0.000000000,8260.000000000,19.792240000,1103679.000000000,1467.742000000,3496.433105000,19.625280000
2023-10-10,05:10:02.74,7.830000000,0.000000000,8043.000000000,19.903440000,1105177.000000000,1467.689000000,3496.544678000,19.735540000
2023-10-10,05:10:02.94,7.830000000,0.000000000,7786.000000000,20.010120000,1106614.000000000,1467.676000000,3496.583008000,19.841320000
2023-10-10,05:10:03.14,7.830000000,0.000000000,7920.000000000,20.149240000,1108488.000000000,1467.665000000,3496.614746000,19.979260000
2023-10-10,05:10:03.34,7.830000000,0.000000000,7864.000000000,20.282720000,1110286.000000000,1467.673000000,3496.580322000,20.111610000
2023-10-10,05:10:03.54,7.830000000,0.000000000,7917.000000000,20.395190000,1111801.000000000,1467.678000000,3496.578369000,20.223120000
2023-10-10,05:10:03.74,7.830000000,0.000000000,8175.000000000,20.506250000,1113297.000000000,1467.678000000,3496.575195000,20.333240000
2023-10-10,05:10:04.24,7.830000000,0.000000000,8260.000000000,20.607660000,1114663.000000000,1467.679000000,3496.592285000,20.433790000
2023-10-10,05:10:04.54,7.830000000,0.000000000,8013.000000000,20.765120000,1116784.000000000,1467.674000000,3496.580078000,20.589910000
2023-10-10,05:10:04.74,7.830000000,0.000000000,7838.000000000,20.889540000,1118460.000000000,1467.690000000,3496.552734000,20.713280000
2023-10-10,05:10:04.89,7.830000000,0.000000000,8072.000000000,21.012110000,1120111.000000000,1467.683000000,3496.555908000,20.834800000
2023-10-10,05:10:05.09,7.830000000,0.000000000,8055.000000000,21.135350000,1121771.000000000,1467.689000000,3496.558838000,20.956990000
2023-10-10,05:10:05.34,7.830000000,0.000000000,7922.000000000,21.253530000,1123363.000000000,1467.686000000,3496.548584000,21.074180000
2023-10-10,05:10:05.64,7.830000000,0.000000000,7754.000000000,21.361330000,1124815.000000000,1467.681000000,3496.561279000,21.181050000
2023-10-10,05:10:05.84,7.830000000,0.000000000,7793.000000000,21.473580000,1126327.000000000,1467.683000000,3496.569824000,21.292350000
2023-10-10,05:10:06.09,7.830000000,0.000000000,7797.000000000,21.586570000,1127849.000000000,1467.688000000,3496.556152000,21.404380000
2023-10-10,05:10:06.19,7.830000000,0.000000000,7786.000000000,21.692730000,1129279.000000000,1467.686000000,3496.558594000,21.509640000
2023-10-10,05:10:06.34,7.830000000,0.000000000,7801.000000000,21.819600000,1130988.000000000,1467.688000000,3496.554688000,21.635440000
2023-10-10,05:10:06.54,7.830000000,0.000000000,8441.000000000,21.950930000,1132757.000000000,1467.698000000,3496.524658000,21.765650000
2023-10-10,05:10:06.74,7.830000000,0.000000000,8355.000000000,22.080770000,1134506.000000000,1467.703000000,3496.519043000,21.894390000
2023-10-10,05:10:06.99,7.830000000,0.090000000,8790.000000000,22.190720000,1135987.000000000,1467.697000000,3496.534912000,22.003400000
