;x;y;d;w;weight_density
322;1.0;2.0;26.0;1.0;0.378768574107777
323;1.0;2.0;27.0;1.0;0.378768574107777
324;1.0;2.0;28.0;1.0;0.378768574107777
325;1.0;2.0;29.0;1.0;0.378768574107777
326;1.0;2.0;30.0;1.0;0.378768574107777
327;1.0;2.0;31.0;1.0;0.378768574107777
328;1.0;2.0;32.0;1.0;0.378768574107777
329;1.0;3.0;0.0;1.0;0.4338858548332663
330;1.0;3.0;1.0;1.0;0.4338858548332663
331;1.0;3.0;2.0;1.0;0.4338858548332663
332;1.0;3.0;3.0;1.0;0.4338858548332663
333;1.0;3.0;4.0;1.0;0.4338858548332663
334;1.0;3.0;5.0;1.0;0.4338858548332663
335;1.0;3.0;6.0;1.0;0.4338858548332663
336;1.0;3.0;7.0;1.0;0.4338858548332663
337;1.0;3.0;8.0;1.0;0.4338858548332663
338;1.0;3.0;9.0;1.0;0.4338858548332663
339;1.0;3.0;10.0;1.0;0.4338858548332663
340;1.0;3.0;11.0;1.0;0.4338858548332663
341;1.0;3.0;12.0;1.0;0.4338858548332663
342;1.0;3.0;13.0;1.0;0.4338858548332663
343;1.0;3.0;14.0;1.0;0.4338858548332663
344;1.0;3.0;15.0;1.0;0.4338858548332663
345;1.0;3.0;16.0;1.0;0.4338858548332663
346;1.0;3.0;17.0;1.0;0.4338858548332663
347;1.0;3.0;18.0;1.0;0.4338858548332663
348;1.0;3.0;19.0;1.0;0.4338858548332663
349;1.0;3.0;20.0;1.0;0.4338858548332663
350;1.0;3.0;21.0;1.0;0.4338858548332663
351;1.0;3.0;22.0;1.0;0.4338858548332663
352;1.0;3.0;23.0;1.0;0.4338858548332663
353;1.0;3.0;24.0;1.0;0.4338858548332663
354;1.0;3.0;25.0;1.0;0.4338858548332663
355;1.0;3.0;26.0;1.0;0.4338858548332663
356;1.0;3.0;27.0;1.0;0.4338858548332663
357;1.0;3.0;28.0;1.0;0.4338858548332663
358;1.0;3.0;29.0;1.0;0.4338858548332663
359;1.0;3.0;30.0;1.0;0.4338858548332663
360;1.0;3.0;31.0;1.0;0.4338858548332663
361;1.0;3.0;32.0;1.0;0.4338858548332663
362;1.0;3.0;33.0;1.0;0.4338858548332663
363;1.0;4.0;0.0;1.0;0.42881153651646203
364;1.0;4.0;1.0;1.0;0.42881153651646203
365;1.0;4.0;2.0;1.0;0.42881153651646203
366;1.0;4.0;3.0;1.0;0.42881153651646203
367;1.0;4.0;4.0;1.0;0.42881153651646203
368;1.0;4.0;5.0;1.0;0.42881153651646203
369;1.0;4.0;6.0;1.0;0.42881153651646203
370;1.0;4.0;7.0;1.0;0.42881153651646203
371;1.0;4.0;8.0;1.0;0.42881153651646203
372;1.0;4.0;9.0;1.0;0.42881153651646203
373;1.0;4.0;10.0;1.0;0.42881153651646203
374;1.0;4.0;11.0;1.0;0.42881153651646203
375;1.0;4.0;12.0;1.0;0.42881153651646203
376;1.0;4.0;13.0;1.0;0.42881153651646203
377;1.0;4.0;14.0;1.0;0.42881153651646203
378;1.0;4.0;15.0;1.0;0.42881153651646203
379;1.0;4.0;16.0;1.0;0.42881153651646203
380;1.0;4.0;17.0;1.0;0.42881153651646203
381;1.0;4.0;18.0;1.0;0.42881153651646203
