;Année;Date;Heure;NCT;vitesseCourant;directionCourant;maree;Longitude;Latitude;pcG;Taille;Rayon;Time;date_heure_stamp;x;y
1539;2001;2001-08-17;0.4583333333332575;2001078;0.2980603965641863;268.8465495488946;R;48.080966666666704;-69.46025;4.0;50;1100;39599.999999993444;108171100;465721.21417370223;5325401.843068026
1540;2001;2001-08-17;0.5;2001078;0.8706193197948228;232.7483993850571;R;48.0385166666667;-69.5527333333333;10.0;50;200;43200.0;108171200;458799.3457488582;5320728.984245319
1541;2002;2002-06-11;0.3541666666667425;2002001;0.6167738645565326;72.74018441431735;E;48.08299999999999;-69.6288166666667;14.285714285714285;10;200;30600.000000006556;206110830;453168.4930668728;5325716.626960903
1542;2002;2002-06-11;0.3645833333332575;2002001;2.302843893971104;56.44104386876742;L;48.05006666666671;-69.6407833333333;14.285714285714285;7;100;31499.999999993444;206110845;452246.81669283775;5322063.553094584
1543;2002;2002-06-11;0.3854166666667425;2002001;0.8363169255730748;61.50436138175502;L;48.06428333333329;-69.6454833333333;38.095238095238095;21.0;300;33300.000000006556;206110915;451909.80098665267;5323646.605942846
1544;2002;2002-06-11;0.40625;2002001;0.5273793700932944;73.24872546836426;L;48.06154999999998;-69.6439833333333;30;35;500;35100.0;206110945;452019.014262212;5323341.870464844
1545;2002;2002-06-11;0.4479166666667425;2002001;0.4008241509689754;74.36876560867779;L;48.04658333333331;-69.6791166666667;32.0;32;300;38700.000000006556;206111045;449386.6971550813;5321700.867697951
1546;2002;2002-06-11;0.46875;2002001;1.049923806759329;58.79291100941448;L;48.03923333333331;-69.6886166666667;35.0;35;300;40500.0;206111115;448671.3816874132;5320890.230730253
1547;2002;2002-06-11;0.4756944444443434;2002001;1.491997989274785;44.89138253862271;L;48.0344333333333;-69.69115;35.0;35;;41099.99999999127;206111125;448477.7656464458;5320358.422066656
1548;2002;2002-06-11;0.5138888888889142;2002002;0.7451717922734328;30.66046755152063;R;48.0162;-69.7217333333333;35.0;30;300;44400.00000000218;206111220;446178.94380386843;5318352.772614978
1549;2002;2002-06-11;0.5555555555556566;2002002;0.3552759490874663;189.8865312414981;R;47.97894999999999;-69.7585;35.0;32;500;48000.00000000873;206111320;443396.46676442487;5314238.956710457
1550;2002;2002-06-11;0.5590277777778283;2002002;0.3552027589982938;178.0639784170726;R;47.97514999999999;-69.7573833333333;35.0;32;;48300.000000004366;206111325;443475.6505177697;5313815.788981766
1551;2002;2002-06-12;0.2916666666667425;2002003;1.779495715083349;91.35243158883722;E;48.11659999999999;-69.6037833333333;23.076923076923077;13;;25200.000000006556;206120700;455062.1515607849;5329436.247459893
1552;2002;2002-06-12;0.3020833333332575;2002003;1.099010918963047;60.86944042684105;E;48.108983333333306;-69.6014333333333;23.076923076923077;13;;26099.999999993444;206120715;455230.4387107693;5328588.305292109
